country,capital,days_count,avg_temp_max,avg_temp_min,total_rainfall,max_wind,total_sunshine_hours
Albania,Tirana,30,16.096666666666668,5.6899999999999995,46.9,24.8,290.0770861111111
Andorra,Andorra la Vella,30,12.846666666666666,0.5366666666666667,50.300000000000004,36.3,279.73689444444443
Austria,Vienna,30,12.973333333333333,3.7366666666666664,27.900000000000002,28.8,257.5434638888889
Belarus,Minsk,30,9.496666666666666,0.6266666666666667,2.1,21.5,294.0980666666667
Belgium,Brussels,30,13.043333333333333,4.816666666666666,52.099999999999994,28.8,278.53228333333334
Bosnia and Herzegovina,Sarajevo,30,11.443333333333333,1.2933333333333332,114.0,23.6,235.67028611111112
Bulgaria,Sofia,30,12.020000000000001,0.6166666666666667,19.3,23.4,247.14235277777777
Croatia,Zagreb,30,13.946666666666667,5.010000000000001,76.7,46.3,258.4559027777778
Cyprus,Nicosia,30,17.84,8.026666666666667,99.1,31.5,289.42276111111113
Czechia,Prague,30,11.74,1.6666666666666667,15.3,24.6,254.84440833333332
Denmark,Copenhagen,30,7.476666666666666,2.5866666666666664,41.3,36.4,232.8503611111111
Estonia,Tallinn,30,8.133333333333333,0.08999999999999998,11.7,27.7,246.44620277777778
Faroe Islands,Tórshavn,30,6.683333333333334,2.23,274.1,59.4,170.58582222222222
Finland,Helsinki,30,4.236666666666666,0.10333333333333332,13.5,31.3,221.460075
France,Paris,30,14.186666666666667,5.073333333333333,56.199999999999996,28.7,281.7574416666667
Germany,Berlin,30,12.17,2.5799999999999996,17.5,28.7,269.84046666666666
Gibraltar,Gibraltar,30,15.59,11.45,114.0,32.7,281.2569277777778
Greece,Athens,30,15.7,7.180000000000001,20.2,22.0,285.2632611111111
Guernsey,St. Peter Port,30,11.08,9.113333333333333,31.4,67.0,238.01595277777778
Hungary,Budapest,30,14.223333333333333,4.036666666666666,43.1,24.0,263.0749611111111
Iceland,Reykjavik,30,2.3133333333333335,-1.8566666666666665,199.1,63.3,175.35180555555556
Ireland,Dublin,30,11.233333333333333,4.96,93.4,43.3,213.62160277777778
Isle of Man,Douglas,30,9.466666666666667,4.383333333333334,118.3,54.1,212.08562777777777
Italy,Rome,30,16.563333333333333,7.65,50.2,31.6,285.68648333333334
Jersey,Saint Helier,30,12.483333333333333,8.216666666666667,47.9,51.6,252.10031944444444
Kosovo,Pristina,30,12.383333333333333,0.6233333333333333,27.5,23.3,279.73570555555557
Latvia,Riga,30,9.506666666666666,0.6333333333333333,26.3,28.8,257.4797555555555
Liechtenstein,Vaduz,30,12.003333333333334,1.0833333333333333,105.1,11.0,249.8797638888889
Lithuania,Vilnius,30,11.003333333333334,0.14333333333333328,4.7,25.6,284.0253083333333
Luxembourg,Luxembourg,30,11.823333333333332,2.4233333333333333,47.300000000000004,27.2,273.36746944444445
Malta,Valletta,30,16.57,12.360000000000001,46.9,41.7,308.23907777777777
Moldova,Chișinău,30,12.66,1.4733333333333334,16.9,24.6,271.6473555555555
Monaco,Monaco,30,16.2,7.8566666666666665,94.60000000000001,32.1,281.0661361111111
Montenegro,Podgorica,30,17.026666666666667,5.426666666666667,59.3,24.1,305.32349444444446
Netherlands,Amsterdam,30,12.046666666666665,4.42,56.5,34.5,262.56086111111114
North Macedonia,Skopje,30,14.26,3.5566666666666666,24.4,20.1,281.94955
Norway,Oslo,30,6.9766666666666675,0.5766666666666667,79.6,38.0,173.9070722222222
Poland,Warsaw,30,13.360000000000001,2.533333333333333,7.8,22.4,272.72740555555555
Portugal,Lisbon,30,18.283333333333335,10.893333333333334,60.5,30.9,279.6128277777778
Romania,Bucharest,30,11.873333333333333,2.9,51.7,25.4,225.54534166666667
Russia,Moscow,30,5.753333333333333,-2.4,15.5,21.1,250.90383055555554
San Marino,City of San Marino,30,11.773333333333333,4.1033333333333335,103.19999999999999,40.0,247.80669166666667
Serbia,Belgrade,30,14.456666666666667,5.083333333333333,61.0,26.9,263.3694361111111
Slovakia,Bratislava,30,13.53,4.1066666666666665,30.700000000000003,33.9,257.3141444444444
Slovenia,Ljubljana,30,13.520000000000001,1.3900000000000001,42.0,28.6,280.2249777777778
Spain,Madrid,30,15.770000000000001,5.7,50.5,28.4,277.90941944444444
Svalbard and Jan Mayen,Longyearbyen,30,-6.596666666666667,-11.796666666666665,19.0,26.4,120.79269722222222
Sweden,Stockholm,30,8.116666666666667,1.35,35.699999999999996,29.6,225.49275
Switzerland,Bern,30,10.76,0.3433333333333333,64.8,35.8,275.28499166666666
Ukraine,Kyiv,30,10.466666666666667,1.3666666666666667,2.4,18.0,269.5538111111111
United Kingdom,London,30,12.526666666666667,5.306666666666667,23.3,32.2,228.50339722222222
Vatican City,Vatican City,30,16.563333333333333,7.65,50.2,31.6,285.68648333333334
Åland Islands,Mariehamn,30,6.043333333333334,1.1233333333333335,34.7,38.1,218.43463888888888
